name,ssd,resnet,fcnn,quality,type
classification_loss,2.352968,0.23376,0.169422,100,bmp
localization_loss,1.250106,0.290874,0.247223,100,bmp
Bicycle,0.002146,0,0,100,bmp
Bike_Bicycle_w/out_human,nan,nan,nan,100,bmp
Bus,0.255653,0,0.289679,100,bmp
Ignored,nan,nan,nan,100,bmp
Motorbike,0,0,0,100,bmp
PassengerCar,0.537846,0.746674,0.771481,100,bmp
Pedestrian,0.060617,0.299413,0.251673,100,bmp
Truck,0.412823,0.498222,0.549801,100,bmp
Van,0.292274,0.219089,0.406485,100,bmp
mAP at 0.5IOU,0.482949,0.675958,0.7024,100,bmp
Test+Train Data Size GB,274,274,274,100,bmp
classification_loss,2.316056,0.139131,0.158272,100,jpg
localization_loss,1.224393,0.201432,0.235816,100,jpg
Bicycle,0.004847,0,0,100,jpg
Bike_Bicycle_w/out_human,nan,nan,nan,100,jpg
Bus,0.241101,0,0.196923,100,jpg
Ignored,nan,nan,nan,100,jpg
Motorbike,0,0,0,100,jpg
PassengerCar,0.546109,0.751003,0.771749,100,jpg
Pedestrian,0.06536,0.280666,0.249349,100,jpg
Truck,0.423793,0.489217,0.535129,100,jpg
Van,0.293567,0.254396,0.413579,100,jpg
mAP at 0.5IOU,0.491519,0.678267,0.701612,100,jpg
Test+Train Data Size GB,51,51,51,100,jpg
classification_loss,2.361523,0.161825,0.189296,40,jpg
localization_loss,1.245563,0.229288,0.269134,40,jpg
Bicycle,0.00321,0,0,40,jpg
Bike_Bicycle_w/out_human,nan,nan,nan,40,jpg
Bus,0.229718,0.021595,0.266728,40,jpg
Ignored,nan,nan,nan,40,jpg
Motorbike,0,0,0,40,jpg
PassengerCar,0.543328,0.751315,0.760914,40,jpg
Pedestrian,0.065265,0.280298,0.241998,40,jpg
Truck,0.41396,0.481068,0.523386,40,jpg
Van,0.286167,0.243241,0.404471,40,jpg
mAP at 0.5IOU,0.488371,0.677882,0.6915,40,jpg
Test+Train Data Size GB,4,4,4,40,jpg
classification_loss,2.372779,0.229165,0.20241,30,jpg
localization_loss,1.269795,0.294771,0.280531,30,jpg
Bicycle,0.002784,0,0,30,jpg
Bike_Bicycle_w/out_human,nan,nan,nan,30,jpg
Bus,0.241317,0.003322,0.261838,30,jpg
Ignored,nan,nan,nan,30,jpg
Motorbike,0,0,0,30,jpg
PassengerCar,0.537884,0.735863,0.757893,30,jpg
Pedestrian,0.066963,0.269486,0.236638,30,jpg
Truck,0.41293,0.490051,0.533023,30,jpg
Van,0.295425,0.241721,0.391251,30,jpg
mAP at 0.5IOU,0.482633,0.664797,0.688381,30,jpg
Test+Train Data Size GB,3.5,3.5,3.5,30,jpg
classification_loss,2.411104,0.162984,0.139548,20,jpg
localization_loss,1.284621,0.232596,0.218448,20,jpg
Bicycle,0.004206,0,0,20,jpg
Bike_Bicycle_w/out_human,nan,nan,nan,20,jpg
Bus,0.250024,0.004271,0.255758,20,jpg
Ignored,nan,nan,nan,20,jpg
Motorbike,0,0,0,20,jpg
PassengerCar,0.530506,0.736661,0.742786,20,jpg
Pedestrian,0.066997,0.264639,0.206329,20,jpg
Truck,0.402706,0.463033,0.499995,20,jpg
Van,0.279404,0.253165,0.380535,20,jpg
mAP at 0.5IOU,0.477106,0.663874,0.670817,20,jpg
Test+Train Data Size GB,2.9,2.9,2.9,20,jpg
classification_loss,2.510747,0.152682,0.177928,10,jpg
localization_loss,1.332975,0.225291,0.261866,10,jpg
Bicycle,0.001299,0,0.001299,10,jpg
Bike_Bicycle_w/out_human,nan,nan,nan,10,jpg
Bus,0.223775,0,0.085075,10,jpg
Ignored,nan,nan,nan,10,jpg
Motorbike,0,0,0,10,jpg
PassengerCar,0.522283,0.699323,0.714294,10,jpg
Pedestrian,0.061378,0.201474,0.174311,10,jpg
Truck,0.397359,0.414628,0.473739,10,jpg
Van,0.267646,0.198691,0.338396,10,jpg
mAP at 0.5IOU,0.468544,0.623507,0.6409,10,jpg
Test+Train Data Size GB,2.3,2.3,2.3,10,jpg
classification_loss,2.697109,0.272041,0.235936,5,jpg
localization_loss,1.459186,0.347889,0.324133,5,jpg
Bicycle,0.000737,0,0,5,jpg
Bike_Bicycle_w/out_human,nan,nan,nan,5,jpg
Bus,0.190448,0,0.1186,5,jpg
Ignored,nan,nan,nan,5,jpg
Motorbike,0,0,0,5,jpg
PassengerCar,0.496302,0.637377,0.654166,5,jpg
Pedestrian,0.042236,0.165283,0.123428,5,jpg
Truck,0.353111,0.335332,0.379594,5,jpg
Van,0.234645,0.134561,0.268954,5,jpg
mAP at 0.5IOU,0.441664,0.562939,0.580661,5,jpg
Test+Train Data Size GB,1.9,1.9,1.9,5,jpg
classification_loss,3.02976,0.220892,0.253741,1,jpg
localization_loss,1.678186,0.295883,0.337511,1,jpg
Bicycle,0.000195,0,0,1,jpg
Bike_Bicycle_w/out_human,nan,nan,nan,1,jpg
Bus,0.181443,0,0,1,jpg
Ignored,nan,nan,nan,1,jpg
Motorbike,0,0,0,1,jpg
PassengerCar,0.449259,0.540401,0.552678,1,jpg
Pedestrian,0.037644,0.070079,0.064737,1,jpg
Truck,0.306344,0.241802,0.271078,1,jpg
Van,0.19487,0.068837,0.167416,1,jpg
mAP at 0.5IOU,0.398075,0.467492,0.482337,1,jpg
Test+Train Data Size GB,1.8,1.8,1.8,1,jpg
