name,ssd,quality,type
classification_loss,2.27917,100,bmp
localization_loss,0.695812,100,bmp
Bicycle,0.001878,100,bmp
Bike_Bicycle_w/out_human,nan,100,bmp
Bus,0.353591,100,bmp
Ignored,nan,100,bmp
Motorbike,0,100,bmp
PassengerCar,0.707092,100,bmp
Pedestrian,0.154934,100,bmp
Truck,0.529435,100,bmp
Van,0.436302,100,bmp
mAP at 0.5IOU,0.64376,100,bmp
Test+Train Data Size,274,100,bmp
classification_loss,2.277974,100,jpg
localization_loss,0.695961,100,jpg
Bicycle,0.003028,100,jpg
Bike_Bicycle_w/out_human,nan,100,jpg
Bus,0.372872,100,jpg
Ignored,nan,100,jpg
Motorbike,0,100,jpg
PassengerCar,0.70699,100,jpg
Pedestrian,0.149368,100,jpg
Truck,0.52974,100,jpg
Van,0.427381,100,jpg
mAP at 0.5IOU,0.643047,100,jpg
Test+Train Data Size,51,100,jpg
classification_loss,2.368762,40,jpg
localization_loss,0.732524,40,jpg
Bicycle,0.000364,40,jpg
Bike_Bicycle_w/out_human,nan,40,jpg
Bus,0.338437,40,jpg
Ignored,nan,40,jpg
Motorbike,0,40,jpg
PassengerCar,0.697676,40,jpg
Pedestrian,0.138939,40,jpg
Truck,0.510908,40,jpg
Van,0.414305,40,jpg
mAP at 0.5IOU,0.632856,40,jpg
Test+Train Data Size,4,40,jpg
classification_loss,2.3641,30,jpg
localization_loss,0.729762,30,jpg
Bicycle,0.000359,30,jpg
Bike_Bicycle_w/out_human,nan,30,jpg
Bus,0.354213,30,jpg
Ignored,nan,30,jpg
Motorbike,0,30,jpg
PassengerCar,0.697649,30,jpg
Pedestrian,0.137663,30,jpg
Truck,0.516576,30,jpg
Van,0.420954,30,jpg
mAP at 0.5IOU,0.633058,30,jpg
Test+Train Data Size,3.5,30,jpg
classification_loss,2.410715,20,jpg
localization_loss,0.75289,20,jpg
Bicycle,0.000325,20,jpg
Bike_Bicycle_w/out_human,nan,20,jpg
Bus,0.337121,20,jpg
Ignored,nan,20,jpg
Motorbike,0,20,jpg
PassengerCar,0.693915,20,jpg
Pedestrian,0.130097,20,jpg
Truck,0.496726,20,jpg
Van,0.413602,20,jpg
mAP at 0.5IOU,0.62819,20,jpg
Test+Train Data Size,2.9,20,jpg
classification_loss,2.535832,10,jpg
localization_loss,0.820119,10,jpg
Bicycle,0.000055,10,jpg
Bike_Bicycle_w/out_human,nan,10,jpg
Bus,0.304157,10,jpg
Ignored,nan,10,jpg
Motorbike,0,10,jpg
PassengerCar,0.67066,10,jpg
Pedestrian,0.114642,10,jpg
Truck,0.482273,10,jpg
Van,0.379911,10,jpg
mAP at 0.5IOU,0.604801,10,jpg
Test+Train Data Size,2.3,10,jpg
classification_loss,2.804251,5,jpg
localization_loss,0.960398,5,jpg
Bicycle,0,5,jpg
Bike_Bicycle_w/out_human,nan,5,jpg
Bus,0.272108,5,jpg
Ignored,nan,5,jpg
Motorbike,0,5,jpg
PassengerCar,0.631331,5,jpg
Pedestrian,0.093116,5,jpg
Truck,0.415279,5,jpg
Van,0.329863,5,jpg
mAP at 0.5IOU,0.565084,5,jpg
Test+Train Data Size,1.9,5,jpg
classification_loss,3.17761,1,jpg
localization_loss,1.186399,1,jpg
Bicycle,0,1,jpg
Bike_Bicycle_w/out_human,nan,1,jpg
Bus,0.172128,1,jpg
Ignored,nan,1,jpg
Motorbike,0,1,jpg
PassengerCar,0.556932,1,jpg
Pedestrian,0.054088,1,jpg
Truck,0.351855,1,jpg
Van,0.247941,1,jpg
mAP at 0.5IOU,0.492406,1,jpg
Test+Train Data Size,1.8,1,jpg
